SYMBOL	PROBEID	CHR	STRAND	CHRLOCSTART	CHRLOCEND	GENENAME
Lce1h	ILMN_1243087	3	-	-92763215	-92765065	late cornified envelope 1H
Thbs4	ILMN_2631882	13	-	-92751586	-92794818	thrombospondin 4
Lce1g	ILMN_1244317	3	-	-92750151	-92752338	late cornified envelope 1G
4632427E13Rik	ILMN_1240009	7	-	-92740706	-92741459	RIKEN cDNA 4632427E13 gene
Lce1f	ILMN_2593523	3	-	-92718696	-92720350	late cornified envelope 1F
Lce1e	ILMN_1258290	3	-	-92707400	-92709074	late cornified envelope 1E
Lce1d	ILMN_1239166	3	-	-92685499	-92687210	late cornified envelope 1D
Nedd1	ILMN_2772461	10	-	-92684745	-92722418	neural precursor cell expressed, developmentally down-regulated gene 1
Lce1a2	ILMN_2731819	3	-	-92668613	-92670315	late cornified envelope 1A2
Lce1b	ILMN_1238230	3	-	-92655650	-92656926	late cornified envelope 1B
Lce1a1	ILMN_1234820	3	-	-92646532	-92648307	late cornified envelope 1A1
Otos	ILMN_2683305	1	-	-92644218	-92648841	otospiralin
Pcf11	ILMN_2420039	7	-	-92643712	-92669912	cleavage and polyadenylation factor subunit homolog (S. cerevisiae)
Myeov2	ILMN_1249277	1	-	-92637145	-92641985	myeloma overexpressed 2
Lce6a	ILMN_2498888	3	-	-92620085	-92621660	late cornified envelope 6A
Ccdc158	ILMN_2620757	5	-	-92608295	-92675127	coiled-coil domain containing 158
Runx1	ILMN_2589107	16	-	-92601466	-92826066	runt related transcription factor 1
Smcp	ILMN_2623212	3	-	-92583866	-92589024	sperm mitochondria-associated cysteine-rich protein
Spz1	ILMN_2653834	13	-	-92574632	-92576232	spermatogenic leucine zipper 1
Ivl	ILMN_1233243	3	-	-92570900	-92573735	involucrin
B430319G15Rik	ILMN_2495956	9	-	-92538801	-92542869	RIKEN cDNA B430319G15 gene
Olfr1414	ILMN_1222406	1	-	-92511048	-92518515	olfactory receptor 1414
Sprr4	ILMN_1241257	3	-	-92500263	-92500493	small proline-rich protein 4
Olfr1415	ILMN_3160276	1	-	-92490818	-92491753	olfactory receptor 1415
Zfyve16	ILMN_1244584	13	-	-92487749	-92530810	zinc finger, FYVE domain containing 16
Sprr1a	ILMN_2975250	3	-	-92483954	-92485881	small proline-rich protein 1A
Olfr1416	ILMN_1234983	1	-	-92479681	-92480619	olfactory receptor 1416
Sprr3	ILMN_1248103	3	-	-92456502	-92458720	small proline-rich protein 3
Slc35c1	ILMN_2675249	2	-	-92452765	-92460518	solute carrier family 35, member C1
Fam151b	ILMN_2763480	13	-	-92449620	-92484031	family with sequence similarity 151, member B
Scarb2	ILMN_2907331	5	-	-92443873	-92505608	scavenger receptor class B, member 2
Ndufa10	ILMN_2657946	1	-	-92439719	-92473758	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10
Sprr1b	ILMN_2699139	3	-	-92436809	-92438779	small proline-rich protein 1B
Nup54	ILMN_2709901	5	-	-92415540	-92435199	nucleoporin 54
Cry2	ILMN_2665681	2	-	-92411260	-92434069	cryptochrome 2 (photolyase-like)
Rcan1	ILMN_1259180	16	-	-92391953	-92466146	regulator of calcineurin 1
Mapk8ip1	ILMN_2760485	2	-	-92383676	-92401263	mitogen-activated protein kinase 8 interacting protein 1
Prickle2	ILMN_2497575	6	-	-92370892	-92706184	prickle homolog 2 (Drosophila)
Gyltl1b	ILMN_1235131	2	-	-92365046	-92371036	glycosyltransferase-like 1B
Cxcl11	ILMN_1247446	5	-	-92359545	-92363296	chemokine (C-X-C motif) ligand 11
Cxcl10	ILMN_1214419	5	-	-92346639	-92348889	chemokine (C-X-C motif) ligand 10
Kcne1	ILMN_2607246	16	-	-92346001	-92359468	potassium voltage-gated channel, Isk-related subfamily, member 1
4933436C20Rik	ILMN_2604403	8	-	-92326033	-92356120	RIKEN cDNA 4933436C20 gene
Cxcl9	ILMN_1215862	5	-	-92321331	-92328079	chemokine (C-X-C motif) ligand 9
4930563D23Rik	ILMN_2748364	16	-	-92318763	-92321441	RIKEN cDNA 4930563D23 gene
Sdad1	ILMN_1250278	5	-	-92284010	-92310024	SDA1 domain containing 1
Naaa	ILMN_2632362	5	-	-92257660	-92278181	N-acylethanolamine acid amidase
Trh	ILMN_1237934	6	-	-92242062	-92244648	thyrotropin releasing hormone
Ppef2	ILMN_2760183	5	-	-92226974	-92253159	protein phosphatase, EF hand calcium-binding domain 2
Msh3	ILMN_2486873	13	-	-92211881	-92355003	mutS homolog 3 (E. coli)
Zfyve20	ILMN_1234236	6	-	-92186712	-92214811	zinc finger, FYVE domain containing 20
Mrps25	ILMN_1239113	6	-	-92169523	-92184023	mitochondrial ribosomal protein S25
Izumo3	ILMN_1258838	4	-	-92144318	-92147221	IZUMO family member 3
Lelp1	ILMN_2420805	3	-	-92134994	-92142754	late cornified envelope-like proline-rich 1
Prr9	ILMN_2623605	3	-	-92122204	-92123947	proline rich 9
Mageb18	ILMN_2700728	X	-	-92118879	-92599572	melanoma antigen family B, 18
Lor	ILMN_1241825	3	-	-92080271	-92083142	loricrin
G3bp2	ILMN_1251970	5	-	-92052161	-92083735	GTPase activating protein (SH3 domain) binding protein 2
Mageb1	ILMN_2601802	X	-	-92015191	-92016333	melanoma antigen, family B, 1
Mageb2	ILMN_1246723	X	-	-92015191	-92016183	melanoma antigen, family B, 2
Cdkl2	ILMN_1242674	5	-	-92006074	-92043042	cyclin-dependent kinase-like 2 (CDC2-related kinase)
Creb3l1	ILMN_2535223	2	-	-91982328	-92024170	cAMP responsive element binding protein 3-like 1
Rchy1	ILMN_1255376	5	-	-91948842	-91963068	ring finger and CHY zinc finger domain containing 1
Dgkz	ILMN_1239607	2	-	-91932827	-91950348	diacylglycerol kinase zeta
Hdac4	ILMN_1219682	1	-	-91932749	-92148393	histone deacetylase 4
Mdk	ILMN_1254450	2	-	-91929822	-91932282	midkine
Atp5o	ILMN_1247889	16	-	-91925223	-91931630	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
Rasgrf2	ILMN_1250506	13	-	-91880407	-91988042	RAS protein-specific guanine nucleotide-releasing factor 2
Ckmt2	ILMN_2698052	13	-	-91853387	-91876885	creatine kinase, mitochondrial 2
Sel1l	ILMN_1244431	12	-	-91806043	-91849157	sel-1 suppressor of lin-12-like (C. elegans)
Irx3	ILMN_2776909	8	-	-91798511	-91801654	Iroquois related homeobox 3 (Drosophila)
Zcchc9	ILMN_2503329	13	-	-91796533	-91807696	zinc finger, CCHC domain containing 9
Grip2	ILMN_1236926	6	-	-91761510	-91807393	glutamate receptor interacting protein 2
Cryzl1	ILMN_1246295	16	-	-91689322	-91728802	crystallin, zeta (quinone reductase)-like 1
Donson	ILMN_2639684	16	-	-91679265	-91688728	downstream neighbor of SON
Atg13	ILMN_2632230	2	-	-91674612	-91710592	autophagy related 13
Zfp408	ILMN_1248477	2	-	-91643688	-91649791	zinc finger protein 408
Ston2	ILMN_1226530	12	-	-91633009	-91786436	stonin 2
F2	ILMN_2789786	2	-	-91625320	-91636414	coagulation factor II
Gart	ILMN_1225226	16	-	-91621397	-91646972	phosphoribosylglycinamide formyltransferase
Dnajc28	ILMN_1219898	16	-	-91614257	-91618999	DnaJ (Hsp40) homolog, subfamily C, member 28
Kif2b	ILMN_2729487	11	-	-91575286	-91577555	kinesin family member 2B
Tmem50b	ILMN_1244515	16	-	-91574508	-91597680	transmembrane protein 50B
Gtf2a1	ILMN_1236560	12	-	-91555262	-91590487	general transcription factor II A, 1
Xpc	ILMN_1230273	6	-	-91489307	-91515888	xeroderma pigmentosum, complementation group C
Chchd4	ILMN_2624695	6	-	-91464276	-91473423	coiled-coil-helix-coiled-coil-helix domain containing 4
Per2	ILMN_1258523	1	-	-91415982	-91459328	period circadian clock 2
Hes6	ILMN_1214126	1	-	-91411483	-91413222	hairy and enhancer of split 6
1700020N18Rik	ILMN_1245336	1	-	-91404879	-91406029	RIKEN cDNA 1700020N18 gene
Ilkap	ILMN_2727893	1	-	-91375831	-91398783	integrin-linked kinase-associated serine/threonine phosphatase 2C
Wnt7a	ILMN_1248290	6	-	-91363983	-91411369	wingless-related MMTV integration site 7A
Zic1	ILMN_2491186	9	-	-91360345	-91365799	zinc finger protein of the cerebellum 1
Btc	ILMN_2734097	5	-	-91357261	-91402994	betacellulin, epidermal growth factor family member
1110051M20Rik	ILMN_2711312	2	-	-91277828	-91444642	RIKEN cDNA 1110051M20 gene
Slc2a13	ILMN_1217954	15	-	-91267691	-91573261	solute carrier family 2 (facilitated glucose transporter), member 13
Elavl2	ILMN_2604028	4	-	-91250767	-91399984	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)
Rpgrip1l	ILMN_2729918	8	-	-91217030	-91313222	Rpgrip1-like
Ddb2	ILMN_1229502	2	-	-91211582	-91237066	damage specific DNA binding protein 2
Nr1h3	ILMN_2663374	2	-	-91184061	-91195116	nuclear receptor subfamily 1, group H, member 3
Tmpo	ILMN_1213625	10	-	-91160417	-91171582	thymopoietin
Abcd2	ILMN_1243944	15	-	-91145871	-91191807	ATP-binding cassette, sub-family D (ALD), member 2
Madd	ILMN_1256376	2	-	-91137360	-91183047	MAP-kinase activating death domain
Aktip	ILMN_2596713	8	-	-91123499	-91135496	thymoma viral proto-oncogene 1 interacting protein
Slc25a3	ILMN_2751046	10	-	-91116578	-91123963	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3
9130204L05Rik	ILMN_2528610	3	-	-91088137	-91090805	RIKEN cDNA 9130204L05 gene
Slc39a13	ILMN_1221337	2	-	-91061791	-91070221	solute carrier family 39 (metal ion transporter), member 13
4932438H23Rik	ILMN_1245519	16	-	-91053935	-91069145	RIKEN cDNA 4932438H23 gene
Paxbp1	ILMN_1228596	16	-	-91014037	-91044379	PAX3 and PAX7 binding protein 1
Nup210	ILMN_1257579	6	-	-91013067	-91116826	nucleoporin 210
Cep128	ILMN_1238463	12	-	-90998492	-91384409	centrosomal protein 128
Apaf1	ILMN_1228561	10	-	-90989311	-91082743	apoptotic peptidase activating factor 1
Rab17	ILMN_2752489	1	-	-90958133	-90969620	RAB17, member RAS oncogene family
Synj1	ILMN_1225015	16	-	-90936101	-91011095	synaptojanin 1
Atg10	ILMN_1222865	13	-	-90935349	-91223987	autophagy related 10
Kif21a	ILMN_2718716	15	-	-90933276	-91049948	kinesin family member 21A
1110004E09Rik	ILMN_1257567	16	-	-90925811	-90934849	RIKEN cDNA 1110004E09 gene
Ptpmt1	ILMN_2602406	2	-	-90910713	-90918050	protein tyrosine phosphatase, mitochondrial 1
Ndufs3	ILMN_2747897	2	-	-90894636	-90904721	NADH dehydrogenase (ubiquinone) Fe-S protein 3
Col6a3	ILMN_1249220	1	-	-90766860	-90843971	collagen, type VI, alpha 3
Urb1	ILMN_1235119	16	-	-90751527	-90810413	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
Dio2	ILMN_2766037	12	-	-90724552	-90738438	deiodinase, iodothyronine, type II
Mis18a	ILMN_2427420	16	-	-90719312	-90727371	MIS18 kinetochore protein homolog A (S. pombe)
S100a9	ILMN_2803674	3	-	-90692633	-90695691	S100 calcium binding protein A9 (calgranulin B)
Iqsec1	ILMN_2520600	6	-	-90659598	-90810123	IQ motif and Sec7 domain 1
Tom1l1	ILMN_1212639	11	-	-90645691	-90687601	target of myb1-like 1 (chicken)
Cpne8	ILMN_1236653	15	-	-90643323	-90679388	copine VIII
Rassf6	ILMN_1233255	5	-	-90603076	-90640487	Ras association (RalGDS/AF-6) domain family member 6
S100a1	ILMN_1225602	3	-	-90511034	-90514330	S100 calcium binding protein A1
Chtop	ILMN_1228394	3	-	-90498958	-90509443	chromatin target of PRMT1
Snapin	ILMN_2594943	3	-	-90488026	-90491013	SNAP-associated protein
Stxbp4	ILMN_2742786	11	-	-90476493	-90638108	syntaxin binding protein 4
Tmem126b	ILMN_1259294	7	-	-90468829	-90475995	transmembrane protein 126B
Tmem126a	ILMN_2803627	7	-	-90450712	-90457208	transmembrane protein 126A
Npr1	ILMN_2746305	3	-	-90450592	-90465866	natriuretic peptide receptor 1
Ptprj	ILMN_2750053	2	-	-90432889	-90580647	protein tyrosine phosphatase, receptor type, J
Ccdc37	ILMN_1236738	6	-	-90403736	-90428480	coiled-coil domain containing 37
Ints3	ILMN_1229435	3	-	-90391380	-90433636	integrator complex subunit 3
Slc27a3	ILMN_2747857	3	-	-90385233	-90389927	solute carrier family 27 (fatty acid transporter), member 3
Gm12633	ILMN_1238587	4	-	-90359625	-90361314	zinc finger protein 352 pseudogene
Hlf	ILMN_2759687	11	-	-90336535	-90390917	hepatic leukemia factor
Chst13	ILMN_1255412	6	-	-90308351	-90325185	carbohydrate (chondroitin 4) sulfotransferase 13
Olfr1273-ps	ILMN_1236970	2	-	-90295936	-90296859	olfactory receptor 1273, pseudogene
Olfr1272	ILMN_2767246	2	-	-90281647	-90282573	olfactory receptor 1272
Olfr1271	ILMN_2712519	2	-	-90265511	-90266428	olfactory receptor 1271
Olfr142	ILMN_3000484	2	-	-90252069	-90252986	olfactory receptor 142
Tox3	ILMN_2434900	8	-	-90247112	-90348252	TOX high mobility group box family member 3
Creb3l4	ILMN_1213549	3	-	-90237500	-90243512	cAMP responsive element binding protein 3-like 4
Ccdc83	ILMN_1219556	7	-	-90235761	-90265432	coiled-coil domain containing 83
Scaf4	ILMN_1221304	16	-	-90229144	-90284425	SR-related CTD-associated factor 4
Ankrd17	ILMN_1221440	5	-	-90227166	-90366185	ankyrin repeat domain 17
Vmn1r53	ILMN_2463370	6	-	-90223317	-90224438	vomeronasal 1 receptor 53
Olfr1506	ILMN_1251816	2	-	-90221567	-90224471	olfactory receptor 1506
Cox18	ILMN_2633039	5	-	-90214725	-90223996	cytochrome c oxidase assembly protein 18
Gm9846	ILMN_2669015	9	-	-90212667	-90213647	predicted gene 9846
Rps27	ILMN_2669015	3	-	-90212667	-90213648	ribosomal protein S27
Tbc1d2b	ILMN_1213519	9	-	-90202049	-90270769	TBC1 domain family, member 2B
Olfr1270	ILMN_2639417	2	-	-90149019	-90150036	olfactory receptor 1270
Olfr32	ILMN_1214661	2	-	-90138180	-90142293	olfactory receptor 32
Olfr1269	ILMN_2738845	2	-	-90118667	-90119596	olfactory receptor 1269
Morf4l1	ILMN_2531259	9	-	-90091669	-90114820	mortality factor 4 like 1
Vmn1r49	ILMN_2503689	6	-	-90072086	-90073018	vomeronasal 1, receptor 49
Olfr140	ILMN_3000343	2	-	-90051414	-90052322	olfactory receptor 140
Iqca	ILMN_2428714	1	-	-90042132	-90153401	IQ motif containing with AAA domain
Vmn1r48	ILMN_2922230	6	-	-90035933	-90036841	vomeronasal 1 receptor 48
Nrxn1	ILMN_1239859	17	-	-90033644	-91092802	neurexin I
Olfr1264	ILMN_2671035	2	-	-90021138	-90022064	olfactory receptor 1264
Ubap2l	ILMN_1223378	3	-	-90005994	-90052515	ubiquitin associated protein 2-like
Hax1	ILMN_2419841	3	-	-89995457	-89998686	HCLS1 associated X-1
Pctp	ILMN_2705979	11	-	-89983417	-90002894	phosphatidylcholine transfer protein
Eed	ILMN_2765015	7	-	-89954654	-89980976	embryonic ectoderm development
Asb18	ILMN_1238496	1	-	-89952678	-90014577	ankyrin repeat and SOCS box-containing 18
Olfr1259	ILMN_1230644	2	-	-89943184	-89944113	olfactory receptor 1259
Atp8b2	ILMN_2659415	3	-	-89939481	-89963332	ATPase, class I, type 8B, member 2
Vmn1r45	ILMN_1249741	6	-	-89931650	-89940507	vomeronasal 1 receptor 45
4930415L06Rik	ILMN_2879121	X	-	-89930097	-89932852	RIKEN cDNA 4930415L06 gene
Gbx2	ILMN_1249766	1	-	-89927962	-89931176	gastrulation brain homeobox 2
l7Rn6	ILMN_3162224	7	-	-89918689	-89941185	lethal, Chr 7, Rinchik 6
Il6ra	ILMN_1216057	3	-	-89869324	-89913162	interleukin 6 receptor, alpha
Ccdc81	ILMN_1232913	7	-	-89866148	-89903629	coiled-coil domain containing 81
Xrcc4	ILMN_1240711	13	-	-89848914	-90089608	X-ray repair complementing defective repair in Chinese hamster cells 4
Vmn1r42	ILMN_1248443	6	-	-89844518	-89845615	vomeronasal 1 receptor 42
Olfr48	ILMN_2714323	2	-	-89844066	-89844971	olfactory receptor 48
Olfr1256	ILMN_1254785	2	-	-89835023	-89835943	olfactory receptor 1256
Olfr1254	ILMN_2665975	2	-	-89788406	-89789350	olfactory receptor 1254
Tiam1	ILMN_2737710	16	-	-89787111	-89974699	T cell lymphoma invasion and metastasis 1
Syt10	ILMN_2724250	15	-	-89782393	-89841860	synaptotagmin X
Chrnb2	ILMN_2612392	3	-	-89753448	-89764632	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)
Olfr1253	ILMN_2871422	2	-	-89751870	-89752826	olfactory receptor 1253
Ankrd34c	ILMN_2525024	9	-	-89728249	-89738475	ankyrin repeat domain 34C
Olfr1252	ILMN_2763675	2	-	-89721165	-89722109	olfactory receptor 1252
Actr6	ILMN_2593338	10	-	-89711973	-89732295	ARP6 actin-related protein 6
Vcan	ILMN_1247540	13	-	-89709948	-89742512	versican
Tmed3	ILMN_2650532	9	-	-89699203	-89705043	transmembrane emp24 domain containing 3
Adamts3	ILMN_1259142	5	-	-89673841	-89883334	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3
Olfr1251	ILMN_2871422	2	-	-89666928	-89667884	olfactory receptor 1251
Olfr1250	ILMN_1255403	2	-	-89656495	-89657439	olfactory receptor 1250
Scyl2	ILMN_1230364	10	-	-89640107	-89686285	SCY1-like 2 (S. cerevisiae)
Olfr1249	ILMN_3160628	2	-	-89629940	-89630896	olfactory receptor 1249
Olfr1248	ILMN_1242432	2	-	-89617168	-89618245	olfactory receptor 1248
Olfr1247	ILMN_2772592	2	-	-89609089	-89610153	olfactory receptor 1247
Olfr1246	ILMN_2771395	2	-	-89590069	-89591146	olfactory receptor 1246
AF529169	ILMN_2652679	9	-	-89590035	-89622986	cDNA sequence AF529169
Rabl2	ILMN_2593578	15	-	-89582527	-89591923	RAB, member of RAS oncogene family-like 2
Olfr1245	ILMN_2608693	2	-	-89574712	-89575773	olfactory receptor 1245
Slc17a8	ILMN_2806439	10	-	-89574020	-89621249	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8
Krtap11-1	ILMN_2672044	16	-	-89570176	-89571183	keratin associated protein 11-1
Olfr1243	ILMN_2714522	2	-	-89527491	-89528408	olfactory receptor 1243
Prss23	ILMN_1246127	7	-	-89507785	-89517586	protease, serine, 23
Krtap7-1	ILMN_2436600	16	-	-89507703	-89508323	keratin associated protein 7-1
Olfr1242	ILMN_2709517	2	-	-89493294	-89494346	olfactory receptor 1242
Olfr1241	ILMN_2991761	2	-	-89482189	-89483133	olfactory receptor 1241
Arsa	ILMN_1225552	15	-	-89472476	-89477424	arylsulfatase A
Nr1h4	ILMN_2727013	10	-	-89454234	-89533622	nuclear receptor subfamily 1, group H, member 4
Olfr1240	ILMN_2711999	2	-	-89439270	-89440343	olfactory receptor 1240
Chkb	ILMN_2622560	15	-	-89426349	-89429927	choline kinase beta
Ankfn1	ILMN_3127224	11	-	-89421086	-89538555	ankyrin-repeat and fibronectin type III domain containing 1
Krtap6-2	ILMN_2761643	16	-	-89419323	-89420111	keratin associated protein 6-2
Gc	ILMN_1224923	5	-	-89417511	-89457898	group specific component
Olfr1239	ILMN_2969402	2	-	-89417494	-89418411	olfactory receptor 1239
BC090627	ILMN_1227666	15	-	-89416405	-89429927	cDNA sequence BC090627
Cpt1b	ILMN_1227666	15	-	-89416405	-89425862	carnitine palmitoyltransferase 1b, muscle
Cks1b	ILMN_1233989	3	-	-89415472	-89418291	CDC28 protein kinase 1b
Gas2l3	ILMN_1234549	10	-	-89408823	-89443967	growth arrest-specific 2 like 3
Olfr1238	ILMN_2725727	2	-	-89406130	-89407077	olfactory receptor 1238
Pet2	ILMN_2821371	X	-	-89403848	-89409689	plasmacytoma expressed transcript 2
Krtap21-1	ILMN_1244522	16	-	-89403027	-89403774	keratin associated protein 21-1
Flad1	ILMN_2602630	3	-	-89402673	-89411863	RFad1, flavin adenine dinucleotide synthetase, homolog (yeast)
4932411E22Rik	ILMN_1230821	11	-	-89390223	-89418948	RIKEN cDNA 4932411E22 gene
Syce3	ILMN_2444375	15	-	-89390174	-89410503	synaptonemal complex central element protein 3
Chchd6	ILMN_2801746	6	-	-89383146	-89595652	coiled-coil-helix-coiled-coil-helix domain containing 6
Zbtb7b	ILMN_2441391	3	-	-89377646	-89393203	zinc finger and BTB domain containing 7B
Odf3b	ILMN_1251371	15	-	-89377449	-89379254	outer dense fiber of sperm tails 3B
Tymp	ILMN_2685565	15	-	-89371931	-89377037	thymidine phosphorylase
Sco2	ILMN_2685565	15	-	-89371637	-89373818	SCO cytochrome oxidase deficient homolog 2 (yeast)
Olfr1234	ILMN_1229384	2	-	-89362483	-89363427	olfactory receptor 1234
Lmf2	ILMN_2736566	15	-	-89351004	-89355659	lipase maturation factor 2
Dcst1	ILMN_1235888	3	-	-89350235	-89365239	DC-STAMP domain containing 1
Adam15	ILMN_1239236	3	-	-89339640	-89350010	a disintegrin and metallopeptidase domain 15 (metargidin)
Olfr1233	ILMN_2615495	2	-	-89339383	-89340300	olfactory receptor 1233
Efna4	ILMN_1217493	3	-	-89333393	-89338028	ephrin A4
Olfr1232	ILMN_2762480	2	-	-89325243	-89326178	olfactory receptor 1232
Plxna1	ILMN_2918155	6	-	-89316314	-89362613	plexin A1
Efna3	ILMN_2818879	3	-	-89314951	-89322879	ephrin A3
Cdkn2b	ILMN_1227240	4	-	-89306289	-89311032	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
Olfr1231	ILMN_1226324	2	-	-89302649	-89303590	olfactory receptor 1231
Dok6	ILMN_3161911	18	-	-89301135	-89769136	docking protein 6
Nog	ILMN_2746870	11	-	-89300638	-89302559	noggin
Olfr1230	ILMN_2662149	2	-	-89296351	-89297268	olfactory receptor 1230
Sbf1	ILMN_1218323	15	-	-89288236	-89315311	SET binding factor 1
Olfr1229	ILMN_2913720	2	-	-89282196	-89283131	olfactory receptor 1229
Cdkn2a	ILMN_1221177	4	-	-89274473	-89294619	cyclin-dependent kinase inhibitor 2A
Efna1	ILMN_1244460	3	-	-89271730	-89280951	ephrin A1
Slc50a1	ILMN_2614486	3	-	-89268246	-89270570	solute carrier family 50 (sugar transporter), member 1
Olfr1228	ILMN_2755352	2	-	-89248721	-89249692	olfactory receptor 1228
Trim46	ILMN_2521395	3	-	-89234177	-89245897	tripartite motif-containing 46
Gm839	ILMN_2601009	6	-	-89212197	-89216179	predicted gene 839
Mtx1	ILMN_2646938	3	-	-89209081	-89214335	metaxin 1
Olfr1226	ILMN_2634806	2	-	-89193100	-89194032	olfactory receptor 1226
Dennd6b	ILMN_2671266	15	-	-89182213	-89196474	DENN/MADD domain containing 6B
Olfr1225	ILMN_1240818	2	-	-89170219	-89171245	olfactory receptor 1225
Plxnb2	ILMN_2461098	15	-	-89155549	-89180788	plexin B2
Hcn3	ILMN_1221517	3	-	-89146775	-89160157	hyperpolarization-activated, cyclic nucleotide-gated K+ 3
Olfr1223	ILMN_1227952	2	-	-89144086	-89151336	olfactory receptor 1223
Mapk11	ILMN_2614777	15	-	-89142484	-89149606	mitogen-activated protein kinase 11
Tmem135	ILMN_2669991	7	-	-89139721	-89338787	transmembrane protein 135
Mapk12	ILMN_1248106	15	-	-89130584	-89140703	mitogen-activated protein kinase 12
Olfr1222	ILMN_3161191	2	-	-89124794	-89125729	olfactory receptor 1222
Hdac10	ILMN_2731340	15	-	-89123303	-89128700	histone deacetylase 10
Olfr1221	ILMN_1222921	2	-	-89111575	-89112510	olfactory receptor 1221
Tubgcp6	ILMN_1256387	15	-	-89099098	-89123150	tubulin, gamma complex associated protein 6
Olfr1220	ILMN_2798069	2	-	-89096938	-89097963	olfactory receptor 1220
Fdps	ILMN_1225730	3	-	-89093588	-89101967	farnesyl diphosphate synthetase
Trim43b	ILMN_1219494	9	-	-89084624	-89092835	tripartite motif-containing 43B
Rusc1	ILMN_2678877	3	-	-89083979	-89093363	RUN and SH3 domain containing 1
Olfr1219	ILMN_2940661	2	-	-89074154	-89075089	olfactory receptor 1219
Olfr1218	ILMN_2755085	2	-	-89054489	-89055424	olfactory receptor 1218
Krtap6-5	ILMN_2905513	16	-	-89047289	-89047899	keratin associated protein 6-5
Dgke	ILMN_2658108	11	-	-89037582	-89060748	diacylglycerol kinase, epsilon
Sall1	ILMN_2643443	8	-	-89027243	-89044162	sal-like 1 (Drosophila)
Olfr1217	ILMN_2651341	2	-	-89022995	-89024099	olfactory receptor 1217
Olfr1216	ILMN_2743091	2	-	-89013127	-89014062	olfactory receptor 1216
Krtap22-2	ILMN_2474195	16	-	-89010380	-89010759	keratin associated protein 22-2
Olfr1215	ILMN_2773054	2	-	-89001348	-89002290	olfactory receptor 1215
Olfr1214	ILMN_2772427	2	-	-88987265	-88988200	olfactory receptor 1214
Fshr	ILMN_1228881	17	-	-88984952	-89200675	follicle stimulating hormone receptor
Olfr1213	ILMN_1233473	2	-	-88972954	-88980267	olfactory receptor 1213
Gm15698	ILMN_1223594	11	-	-88964666	-88966917	transcription elongation factor B (SIII), polypeptide 2 pseudogene
Krtap16-3	ILMN_1228660	16	-	-88962304	-88962873	keratin associated protein 16-3
Mlc1	ILMN_2610788	15	-	-88955884	-88978553	megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)
Ano4	ILMN_2973774	10	-	-88948994	-89257790	anoctamin 4
Krtap19-9b	ILMN_2851218	16	-	-88931804	-88932264	keratin associated protein 19-9B
Olfr1211	ILMN_3160459	2	-	-88929378	-88930313	olfactory receptor 1211
Scpep1	ILMN_2736968	11	-	-88924020	-88955442	serine carboxypeptidase 1
Dap3	ILMN_2620078	3	-	-88920803	-88950282	death associated protein 3
Ttll8	ILMN_2623434	15	-	-88913898	-88954418	tubulin tyrosine ligase-like family, member 8
Msto1	ILMN_2721208	3	-	-88909616	-88913950	misato homolog 1 (Drosophila)
Olfr1209	ILMN_2772889	2	-	-88909459	-88910391	olfactory receptor 1209
Olfr1208	ILMN_2630221	2	-	-88896669	-88897595	olfactory receptor 1208
Krtap19-5	ILMN_2594119	16	-	-88895968	-88896449	keratin associated protein 19-5
Krtap19-4	ILMN_2645563	16	-	-88884786	-88885089	keratin associated protein 19-4
Mcm2	ILMN_1250907	6	-	-88883474	-88898780	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)
Ifne	ILMN_1255754	4	-	-88879538	-88880201	interferon epsilon
Krtap19-3	ILMN_1226741	16	-	-88877513	-88878038	keratin associated protein 19-3
Krtap16-1	ILMN_2609044	16	-	-88873665	-88874269	keratin associated protein 16-1
Krtap19-1	ILMN_1229043	16	-	-88868918	-88869410	keratin associated protein 19-1
Socs6	ILMN_1236610	18	-	-88867880	-88894207	suppressor of cytokine signaling 6
Podxl2	ILMN_1244905	6	-	-88842558	-88874044	podocalyxin-like 2
Abtb1	ILMN_2699477	6	-	-88835914	-88841935	ankyrin repeat and BTB (POZ) domain containing 1
Akap1	ILMN_1219231	11	-	-88830792	-88864586	A kinase (PRKA) anchor protein 1
Krtap14	ILMN_2711452	16	-	-88825291	-88826145	keratin associated protein 14
1500004A13Rik	ILMN_3063644	3	-	-88822010	-88832487	RIKEN cDNA 1500004A13 gene
Alg12	ILMN_2680686	15	-	-88805243	-88819318	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase)
2310057N15Rik	ILMN_1215300	16	-	-88773181	-88774206	RIKEN cDNA 2310057N15 gene
Olfr1200	ILMN_2876794	2	-	-88767303	-88768313	olfactory receptor 1200
Olfr1199	ILMN_2633484	2	-	-88755741	-88756673	olfactory receptor 1199
